specimen,code,group,family,genus,genus2,taxon,TL_m,BZW_mm,Age_100,category,Feeding_BL20
Bal.phy_1862.2.7.181,Fa1,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,18,1971.16,120,4-adult,filter
Bal.phy_1997.441,Ff10,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.55,75.064,31.71,1-early,filter
Bal.phy_1997.462,Ff9,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.48,66.3648,28.33125,1-early,filter
Bal.phy_1997.463,Ff8,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.43,56.21,27.55833333,1-early,filter
Bal.phy_USNM260585,Ff6,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,1.32,165.459,42.38808333,1-early,filter
Bal.phy_USNM267106,Ff2,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.41,53.3,21.57558333,1-early,filter
Bal.phy_USNM268882,Ff3,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.615,74.812,27.55833333,1-early,filter
Bal.phy_USNM268883,Ff5,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.791,104.119,31.71,1-early,filter
Bal.phy_USNM268884,Ff4,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.65,81.025,28.33125,1-early,filter
Bal.phy_USNM269156,Ff7,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,1.55,185.798,21.57558333,1-early,filter
Bal.phy_ZMCU1143,Ff1,mysticeti,balaenopteridae,Balaenoptera,Balaenoptera_l,fin_whale,0.85,86.164,34.97247867,1-early,filter
Balaena_1986.1.16,Wa1,mysticeti,balaenidae,Balaena,Balaena,bowhead_whale,13,1737.04,120,4-adult,filter_skim
Balaena_USNM571928,Wf1,mysticeti,balaenidae,Balaena,Balaena,bowhead_whale,1.3,177.394,38.50850267,1-early,filter_skim
Caperea_1876.2.16.1,Pj1,mysticeti,neobalaenidae,Caperea,Caperea,pigmy_right_whale,3,459.96,110,3-immature,filter_skim
Caperea_TMP012998,Pn1,mysticeti,neobalaenidae,Caperea,Caperea,pigmy_right_whale,1.91,210.366,100,2-late/new,filter_skim
Eschrichtius_SDNHM25307,Gn1,mysticeti,balaenopteridae,Eschrichtius,Eschrichtius,gray_whale,3.94,393.014,100,2-late/new,filter_suc
Eschrichtius_USNM13803,Ga1,mysticeti,balaenopteridae,Eschrichtius,Eschrichtius,gray_whale,11,991.825,120,4-adult,filter_suc
Kogia.bre_1866.2.5.6,Kogj1,odontoceti,physeteroidea,Kogia,Kogia,dwarf_sperm_whale,1.83,221.68,110,3-immature,suction
Kogia.bre_1952.8.28.2,Kogj2,odontoceti,physeteroidea,Kogia,Kogia,pygmy_sperm_whale,1.71,209.673,110,3-immature,suction
Kogia.bre_1997.571,Koge1,odontoceti,physeteroidea,Kogia,Kogia,pygmy_sperm_whale,0.165,19.459,15,1-early,suction
Kogia.bre_USNM22015,Koga1,odontoceti,physeteroidea,Kogia,Kogia,pygmy_sperm_whale,3,366.99,120,4-adult,suction
Kogia.bre_USNM504983,Kogf1,odontoceti,physeteroidea,Kogia,Kogia,pygmy_sperm_whale,0.268,39.28,24.36363636,1-early,suction
Lagenorhynchus.acu_1846.7.11.2,Lagf3,odontoceti,delphinidae,Lagenorhynchus,Lagenorhynchus,Atlantic_white-sided_dolphin,0.61,73.5,55.45,2-late/new,biting/crushing/suction
Lagenorhynchus.acu_USNM504196,Laga1,odontoceti,delphinidae,Lagenorhynchus,Lagenorhynchus,Atlantic_white-sided_dolphin,2.48,229.599,120,4-adult,biting/crushing/suction
Lagenorhynchus.alb_1847.4.4.2,Lagn1,odontoceti,delphinidae,Lagenorhynchus,Lagenorhynchus,dusky_dolphin,1.21,100.023,100,2-late/new,biting/crushing/suction
Lagenorhynchus.sp_1997.549,Lagf1,odontoceti,delphinidae,Lagenorhynchus,Lagenorhynchus,white-sided_dolphin,0.405,48.88,36.82,1-early,biting/crushing/suction
Lagenorhynchus.sp_1997.550,Lagf2,odontoceti,delphinidae,Lagenorhynchus,Lagenorhynchus,white-sided_dolphin,0.47,60.81,42.73,1-early,biting/crushing/suction
Megaptera_792a,Ha1,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,13,1575.49,120,4-adult,filter
Megaptera_LACM97707,Hj1,mysticeti,balaenopteridae,Megaptera,Megaptera,humpback_whale,9,1472.58,110,3-immature,filter
